대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),추천_대분류,추천_유사도
공동주택,경상남도 산청군 산청읍 내리 88,경상남도,6608,13871,8,0.03,공동주택,0.9605781919973068
공동주택,경상남도 창원시 진해구 여좌동 750-1,경상남도,7939,36957,3,0.02,자동차관련시설,0.7481864418237104
공동주택,경상남도 통영시 인평동 248-7,경상남도,8999,9785,3,0.02,공동주택,0.8725044062249026
공동주택,경상남도 통영시 도남동 510-2,경상남도,9363,9785,14,0.02,공장,0.9306430907488047
공동주택,경상남도 진주시 인사동 112-5,경상남도,9749,11808,65,0.04,기타,0.9771789637203254
공동주택,경상남도 창원시 마산합포구 월영동 234-6,경상남도,11073,27717,3,0.02,자동차관련시설,0.8156609571767653
공동주택,경상남도 창원시 마산합포구 두월동2가 8-5,경상남도,11073,27717,3,0.02,자동차관련시설,0.8156609571767653
공동주택,경상남도 양산시 북부동 697-2,경상남도,11401,17527,42,0.06,기타,0.8764677159041783
공동주택,경상북도 경주시 양남면 하서리 183-2,경상북도,6042,12460,26,0.03,공장,0.938189613539669
공동주택,경상북도 김천시 모암동 119-115,경상북도,6184,1948,20,0.05,기타,0.9733855952568148
공동주택,경상북도 포항시 남구 동해면 도구리 7-3,경상북도,9388,14175,7,0.02,가설건축,0.8941416164505648
공동주택,경상북도 경주시 마동 837-4,경상북도,9706,5217,54,0.02,공장,0.8743171389800879
공동주택,경상북도 구미시 형곡동 180-9,경상북도,15761,43730,0,0.02,공동주택,0.18023434948676545
공동주택,경상북도 포항시 북구 득량동 229-1,경상북도,16257,21053,0,0.01,공동주택,0.8043778479260012
공동주택,경상북도 경주시 동천동 771,경상북도,21863,25475,14,0.03,자동차관련시설,0.9826824504990666
공동주택,경상북도 포항시 남구 대도동 5-6,경상북도,23665,21053,29,0.04,자동차관련시설,0.7825384999806702
공동주택,경상북도 포항시 남구 연일읍 생지리 188,경상북도,28659,37969,1,0.02,자동차관련시설,0.8361604117320903
공동주택,경상북도 구미시 상모동 21-2,경상북도,30559,23018,6,0.01,자동차관련시설,0.974568328309972
공동주택,광주광역시 남구 백운동 631-32,광주광역시,6852,52845,17,0.02,숙박시설,0.5668384108311297
공동주택,광주광역시 광산구 수완동 189,광주광역시,7778,24470,0,0.08,기타,0.9010828696276659
공동주택,광주광역시 광산구 수완동 35-21,광주광역시,7778,24470,0,0.08,기타,0.9010828696276659
공동주택,광주광역시 광산구 수완동 35-15,광주광역시,7778,24470,0,0.08,기타,0.9010828696276659
공동주택,광주광역시 북구 운암동 154-19,광주광역시,11556,13843,22,0.03,숙박시설,0.6541813176734781
공동주택,광주광역시 북구 두암동 939,광주광역시,12355,6594,1,0.01,판매시설,0.8297901550293029
공동주택,광주광역시 북구 중흥동 599-28,광주광역시,15147,13843,2,0.02,판매시설,0.8601281890196659
공동주택,광주광역시 서구 화정동 104-1,광주광역시,15641,39702,10,0.02,판매시설,0.6626751526956025
공동주택,광주광역시 서구 쌍촌동 984-25,광주광역시,22787,39702,4,0.03,가설건축,0.8467576876344749
공동주택,광주광역시 서구 쌍촌동 328-53,광주광역시,24173,39702,10,0.02,가설건축,0.7991029811557933
공동주택,대구광역시 중구 남산동 934-7,대구광역시,7099,36971,2,0.03,판매시설,0.9392230976116067
공동주택,대구광역시 달성군 가창면 우록리 10,대구광역시,7288,10165,8,0.02,기타,0.7516160541482424
공동주택,대구광역시 군위군 군위읍 서부리 214-2,대구광역시,7695,16387,7,0.04,판매시설,0.855739684418614
공동주택,대구광역시 남구 대명동 2244-3,대구광역시,11423,29690,6,0.03,기타,0.9910021081076325
공동주택,대구광역시 동구 신평동 322-16,대구광역시,14027,38336,1,0.02,공장,0.9735110232889923
공동주택,대구광역시 남구 대명동 834-1,대구광역시,14466,29690,3,0.02,공동주택,0.9867084334929902
공동주택,대구광역시 달서구 두류동 804-54,대구광역시,15023,29690,7,0.02,공동주택,0.9667701445948127
공동주택,대구광역시 동구 방촌동 1113-264,대구광역시,17565,38336,1,0.01,공장,0.8505953834181483
공동주택,대구광역시 동구 방촌동 1113-265,대구광역시,17565,38336,1,0.01,공장,0.8505953834181483
공동주택,대구광역시 수성구 만촌동 1482,대구광역시,20334,20197,0,0.01,공동주택,0.6846390116070059
공동주택,대전광역시 중구 대사동 246-8,대전광역시,5434,14337,6,0.03,기타,0.8123907667764209
공동주택,대전광역시 서구 가장동 41-4,대전광역시,10789,14337,1,0.01,공동주택,0.975184266577416
공동주택,대전광역시 서구 만년동 306,대전광역시,12178,14337,0,0.03,공동주택,0.9465271997303445
공동주택,대전광역시 중구 유천동 180-1,대전광역시,13016,14337,2,0.02,공동주택,0.9920257540572958
공동주택,대전광역시 중구 대흥동 3-13,대전광역시,13200,14337,50,0.04,숙박시설,0.8401102337614332
공동주택,대전광역시 서구 변동 252-77,대전광역시,14062,14337,1,0.03,공동주택,0.952665575542193
공동주택,대전광역시 중구 석교동 267-11,대전광역시,14597,14337,0,0.02,공동주택,0.9724439900456106
공동주택,대전광역시 동구 자양동 85-40,대전광역시,16673,16454,1,0.01,공동주택,0.9141098952414101
공동주택,대전광역시 동구 자양동 3-2,대전광역시,16673,16454,1,0.01,공동주택,0.9141098952414101
공동주택,대전광역시 동구 가양동 35-4,대전광역시,20111,16454,4,0.02,판매시설,0.9482387240694217
공동주택,부산광역시 남구 대연동 760-8,부산광역시,12743,22984,1,0.01,판매시설,0.9130595251339237
공동주택,부산광역시 수영구 수영동 481-2,부산광역시,13578,22984,4,0.03,판매시설,0.9944944589989853
공동주택,부산광역시 해운대구 중동 1501-8,부산광역시,14978,22984,3,0.02,판매시설,0.9287883235679344
공동주택,부산광역시 연제구 연산동 2003-16,부산광역시,15416,22984,0,0.02,판매시설,0.933750185657596
공동주택,부산광역시 북구 구포동 1227-21,부산광역시,19679,28715,0,0.01,공동주택,0.9047130176345197
공동주택,부산광역시 금정구 장전동 275-9,부산광역시,20860,22984,1,0.02,공동주택,0.9318976276563724
공동주택,부산광역시 해운대구 우동 518,부산광역시,21937,22984,94,0.03,숙박시설,0.7512658926196815
공동주택,부산광역시 사하구 당리동 313-48,부산광역시,23905,31070,2,0.02,공동주택,0.9016761302071885
공동주택,부산광역시 수영구 광안동 115-24,부산광역시,24889,22984,0,0.02,공동주택,0.9319942636600058
공동주택,부산광역시 해운대구 우동 1477,부산광역시,29092,22984,13,0.04,자동차관련시설,0.856890694220535
