행정구역,순위,인구 천명당 사업체수(개),비율(%)
광주광역시 북구 건국동,421,199.12,0.04
전북특별자치도 김제시 금산면,422,198.92,0.04
부산광역시 동구 초량2동,423,198.59,0.04
충청남도 금산군 부리면,424,198.13,0.04
전북특별자치도 정읍시 정우면,425,197.99,0.04
경상북도 영천시 청통면,426,197.99,0.04
대전광역시 유성구 온천1동,427,197.6,0.04
경기도 수원시 팔달구 인계동,428,197.32,0.04
경상남도 밀양시 산내면,429,197.28,0.04
서울특별시 송파구 잠실6동,430,197.26,0.04
경상남도 양산시 강서동,431,197.23,0.04
부산광역시 영도구 영선1동,432,197.02,0.04
전라남도 목포시 부흥동,433,197,0.04
경기도 가평군 상면,434,196.73,0.04
전라남도 완도군 완도읍,435,196.59,0.04
부산광역시 금정구 금성동,436,196.47,0.04
경상남도 창원시 성산구 중앙동,437,196.3,0.04
인천광역시 미추홀구 숭의1·3동,438,196.15,0.04
경상북도 영주시 장수면,439,196.08,0.04
전북특별자치도 임실군 관촌면,440,196.03,0.04
경상남도 산청군 시천면,441,196.02,0.04
강원특별자치도 춘천시 신동면,442,195.9,0.04
인천광역시 강화군 화도면,443,195.73,0.04
강원특별자치도 양구군 방산면,444,195.73,0.04
경상남도 남해군 남면,445,195.43,0.04
경상남도 진주시 상대동,446,195.32,0.04
전라남도 여수시 한려동,447,195.3,0.04
부산광역시 연제구 연산5동,448,195.26,0.04
전라남도 목포시 동명동,449,194.95,0.04
전북특별자치도 전주시 덕진구 우아2동,450,194.69,0.04
전라남도 강진군 강진읍,451,194.45,0.04
경상남도 김해시 불암동,452,194.36,0.04
전북특별자치도 군산시 개정면,453,194.33,0.04
광주광역시 동구 지산1동,454,193.94,0.04
경기도 시흥시 정왕1동,455,193.93,0.04
전북특별자치도 김제시 봉남면,456,193.72,0.04
충청남도 청양군 청양읍,457,193.52,0.04
경상남도 사천시 서포면,458,192.99,0.04
경상북도 상주시 남원동,459,192.71,0.04
서울특별시 송파구 가락본동,460,192.53,0.04
부산광역시 동래구 안락1동,461,192.46,0.04
전북특별자치도 정읍시 덕천면,462,191.9,0.04
전라남도 강진군 도암면,463,191.89,0.04
강원특별자치도 삼척시 원덕읍,464,191.64,0.04
경상남도 남해군 삼동면,465,191.34,0.04
강원특별자치도 동해시 묵호동,466,191.3,0.04
부산광역시 해운대구 우2동,467,190.81,0.04
경상북도 안동시 서구동,468,190.43,0.04
부산광역시 서구 남부민1동,469,190.4,0.04
전라남도 장성군 황룡면,470,190.39,0.04
경상북도 고령군 다산면,471,190.14,0.04
경상남도 남해군 미조면,472,190.12,0.04
강원특별자치도 평창군 대화면,473,190.09,0.04
경상남도 창원시 의창구 대산면,474,189.9,0.04
충청남도 논산시 광석면,475,189.85,0.04
서울특별시 성동구 성수1가1동,476,189.8,0.04
경상북도 영덕군 강구면,477,189.76,0.04
경상북도 경산시 자인면,478,189.32,0.04
전북특별자치도 진안군 마령면,479,189.19,0.04
서울특별시 송파구 방이2동,480,189.05,0.04
강원특별자치도 태백시 황지동,481,188.97,0.04
전라남도 장흥군 장흥읍,482,188.97,0.04
전북특별자치도 남원시 산내면,483,188.85,0.04
대전광역시 중구 부사동,484,188.78,0.04
전라남도 강진군 대구면,485,188.76,0.04
전북특별자치도 군산시 대야면,486,188.62,0.04
충청북도 충주시 수안보면,487,188.59,0.04
강원특별자치도 강릉시 강동면,488,188.41,0.04
전라남도 보성군 보성읍,489,188.41,0.04
강원특별자치도 춘천시 약사명동,490,188.29,0.04
울산광역시 북구 효문동,491,188.15,0.04
전라남도 나주시 공산면,492,188.07,0.04
전북특별자치도 전주시 완산구 노송동,493,188.06,0.04
인천광역시 동구 금창동,494,187.97,0.04
경기도 남양주시 수동면,495,187.89,0.04
