adm_cd,population,traffic,tourism,commercial_density,full_name
4159037000,14819.0,31470.0,2.0,0.05,경기도 화성시 장안면
4159055000,36612.0,30954.0,0.0,0.02,
4159060000,42448.0,15301.0,3.0,0.02,
4159062000,32862.0,18850.0,0.0,0.01,
4159063000,38437.0,15383.0,0.0,0.01,
4161058000,21158.0,5395.0,0.0,0.03,
4163032000,7751.0,13358.0,4.0,0.04,경기도 양주시 남면
4163054000,34223.0,58864.0,6.0,0.01,
4167037000,4511.0,20849.0,4.0,0.03,경기도 여주시 강천면
4167052000,24782.0,35957.0,9.0,0.02,
4182025000,19438.0,27704.0,150.0,0.03,경기도 가평군 가평읍
4311152500,6486.0,19656.0,9.0,0.06,
4311154500,6493.0,20388.333333333332,37.0,0.09000000000000001,
4311168000,29313.0,18524.0,1.0,0.01,
4311169000,12665.0,14123.0,1.0,0.02,
4311231000,12827.2,30288.8,10.4,0.044000000000000004,충청북도 청주시 서원구 남이면
4311251000,4260.0,33926.0,10.0,0.04,
4311253000,16875.0,38488.0,10.0,0.03,
4311254000,18729.0,22985.0,2.0,0.01,
4311255000,25188.0,28239.0,0.0,0.02,
4311256000,28816.0,25612.0,0.0,0.02,
4311259000,47463.0,38488.0,0.0,0.01,
4311325000,31129.0,25087.0,7.0,0.02,충청북도 청주시 흥덕구 오송읍
4311331000,12627.0,9722.0,3.0,0.02,충청북도 청주시 흥덕구 강내면
4311370000,15135.0,33926.0,3.0,0.03,
4311375600,24433.0,34838.4,11.0,0.03,
4311376000,30676.0,41433.666666666664,9.0,0.02,
4311377000,16649.0,33926.0,1.0,0.02,
4311425000,19095.0,17266.5,11.0,0.02,충청북도 청주시 청원구 내수읍
4311425300,68963.0,41483.0,35.0,0.02,충청북도 청주시 청원구 오창읍
4311451000,12350.0,33926.0,21.0,0.03,
4311453000,17254.0,19656.0,1.0,0.01,
4311454000,48080.0,33926.0,4.0,0.02,
4311455000,32721.0,19656.0,3.0,0.03,
4313032500,2752.0,1335.5,25.0,0.04,충청북도 충주시 수안보면
4313033500,12817.0,21831.0,10.0,0.02,충청북도 충주시 대소원면
4313037000,3789.0,12192.0,7.0,0.03,충청북도 충주시 앙성면
4313038500,14227.0,8861.0,2.0,0.01,충청북도 충주시 중앙탑면
4313040000,3572.0,6907.0,16.0,0.03,충청북도 충주시 동량면
4313054000,6858.0,2838.0,1.0,0.03,
4313055000,14099.0,16573.0,2.0,0.01,
4313061000,9028.0,34801.0,40.0,0.03,
4315035000,646.0,1163.0,1.0,0.05,충청북도 제천시 한수면
4315052800,5353.0,26661.0,36.0,0.1,
4315054700,9879.0,21738.0,40.0,0.02,
4315056000,21796.0,4954.0,1.0,0.02,
4315059000,15563.0,25020.0,1.0,0.03,
4372038500,1618.0,1911.0,1.0,0.02,충청북도 보은군 회인면
4373025000,27972.0,9212.0,22.0,0.03,충청북도 옥천군 옥천읍
4374025000,20602.0,5790.0,16.0,0.03,충청북도 영동군 영동읍
4374031000,3247.0,1710.0,3.0,0.03,충청북도 영동군 용산면
4374035000,2070.0,122.0,2.0,0.02,충청북도 영동군 상촌면
4375025000,32486.0,33328.5,25.0,0.02,충청북도 진천군 진천읍
4375035000,7932.0,8289.0,5.0,0.03,충청북도 진천군 이월면
4376025000,10874.0,14566.0,10.0,0.03,충청북도 괴산군 괴산읍
4376036000,5160.0,988.0,11.0,0.02,충청북도 괴산군 청천면
4377025000,16976.0,10301.0,14.0,0.02,충청북도 음성군 음성읍
4377025300,22411.0,6808.0,21.0,0.03,충청북도 음성군 금왕읍
4377033000,13860.0,5397.5,8.0,0.03,충청북도 음성군 맹동면
4377034000,19778.0,8676.0,25.0,0.03,충청북도 음성군 대소면
4377035000,8443.0,5500.0,4.0,0.04,충청북도 음성군 삼성면
4380025000,9818.0,8578.0,39.0,0.03,충청북도 단양군 단양읍
4380032000,1895.0,2381.0,1.0,0.04,충청북도 단양군 가곡면
4413135000,2823.0,27740.0,1.0,0.04,충청남도 천안시 동남구 수신면
4413152000,8145.0,24639.0,40.0,0.02,
4413153000,8377.0,24639.0,2.0,0.03,
4413154000,9299.0,24639.0,3.0,0.03,
4413155000,18124.0,54979.0,33.0,0.02,
4413156000,21829.0,24639.0,1.0,0.02,
4413157000,43783.0,71113.0,1.0,0.02,
4413159000,49621.0,54979.0,41.0,0.02,
4413325300,21806.0,34811.0,7.0,0.02,충청남도 천안시 서북구 성거읍
4413351000,18149.5,54979.0,22.5,0.02,
4413352000,27081.0,54979.0,40.0,0.03,
4413353000,13139.0,63046.0,18.0,0.03,
4413355000,17709.0,71113.0,0.0,0.01,
4413356000,38968.0,54979.0,0.0,0.02,
4413356600,31567.0,54979.0,14.0,0.02,
4413356700,36091.0,54979.0,2.0,0.02,
4413358000,51022.0,27036.0,7.0,0.02,
4415034000,3897.0,16850.0,49.0,0.05,충청남도 공주시 반포면
4415037000,4883.0,3404.0,2.0,0.03,충청남도 공주시 정안면
4415051000,4804.0,17165.0,12.0,0.04,
4415054000,7655.0,16008.0,18.0,0.05,
4415059000,15562.0,17597.0,0.0,0.02,
4418032000,4737.0,7019.0,13.0,0.03,충청남도 보령시 오천면
4418033000,3638.0,1345.0,9.0,0.03,충청남도 보령시 천북면
4418041000,4931.0,7019.0,7.0,0.02,충청남도 보령시 주교면
4420033000,47364.0,43372.0,1.0,0.01,충청남도 아산시 탕정면
4420035000,21660.0,16013.0,41.0,0.03,충청남도 아산시 음봉면
4420036000,30326.0,12188.0,10.0,0.02,충청남도 아산시 둔포면
4420039000,3181.0,28964.0,2.0,0.03,충청남도 아산시 선장면
4420041000,32158.0,25047.0,2.0,0.01,충청남도 아산시 신창면
4420057000,9225.0,29758.0,48.0,0.06,
4420060000,19312.0,29758.0,2.0,0.01,
4420061000,20995.0,36549.0,6.0,0.02,
4420062000,26953.0,36549.0,4.0,0.01,
4421051000,18659.0,15400.0,45.0,0.02,
4421054000,16229.0,9376.0,3.0,0.02,
4423025300,13294.0,14188.0,23.0,0.03,충청남도 논산시 연무읍
4423036000,6056.0,25202.0,17.0,0.04,충청남도 논산시 연산면
4423040000,3185.0,6139.0,5.0,0.04,충청남도 논산시 가야곡면
4425031000,13354.0,32024.0,0.0,0.01,충청남도 계룡시 두마면
4427025300,31514.0,18332.0,33.0,0.02,충청남도 당진시 송악읍
4427032000,8688.0,18186.0,19.0,0.03,충청남도 당진시 석문면
4427038000,15418.0,20385.0,14.0,0.03,충청남도 당진시 신평면
4427051000,32759.0,12304.0,33.0,0.03,
4471025000,22425.0,12037.8,14.0,0.04,충청남도 금산군 금산읍
4471037000,2981.0,2653.0,16.0,0.04,충청남도 금산군 진산면
4476025000,18159.0,1317.0,31.0,0.04,충청남도 부여군 부여읍
4476033000,2165.0,4176.0,4.0,0.02,충청남도 부여군 외산면
4480025000,37640.0,10780.0,30.0,0.03,충청남도 홍성군 홍성읍
4480025600,30325.0,3769.0,3.0,0.01,충청남도 홍성군 홍북읍
4481025000,31738.0,17647.0,51.0,0.03,충청남도 예산군 예산읍
4481035000,2439.0,1032.0,10.0,0.04,충청남도 예산군 응봉면
4481036000,6359.0,3769.0,51.0,0.04,충청남도 예산군 덕산면
4482525300,7770.0,10017.0,100.0,0.04,충청남도 태안군 안면읍
4482532000,5042.0,10066.0,157.0,0.04,충청남도 태안군 남면
