대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,울산광역시 울주군 청량읍 상남리 496-1,울산광역시,18102,20222,2,0.03,35.49533731,129.3081042,3171026200.0,703,1495,0.0,0,1,3
가설건축,울산광역시 울주군 온산읍 삼평리 569-4,울산광역시,24417,16876,14,0.03,35.40790323,129.3263697,3171025000.0,414,856,0.0,0,0,0
가설건축,울산광역시 울주군 온산읍 산암리 150-5,울산광역시,24417,23213,14,0.03,35.44182467,129.3517722,3171025000.0,79,170,0.0,0,0,0
가설건축,울산광역시 북구 연암동 62,울산광역시,29237,30691,9,0.04,35.57841849,129.3763549,3120056000.0,409,811,0.0,0,0,10
가설건축,울산광역시 북구 매곡동 174-5,울산광역시,42437,27722,1,0.01,35.64623721,129.3567333,3120052000.0,639,1276,0.0,1,0,44
가설건축,인천광역시 중구 항동7가 126,인천광역시,5668,26544,25,0.09,37.44063001,126.6018073,2811052000.0,6,24,0.0,0,0,0
가설건축,인천광역시 중구 항동7가 82-4,인천광역시,5668,26544,25,0.09,37.44618115,126.6034221,2811052000.0,35,128,0.0,0,0,0
가설건축,인천광역시 중구 항동7가 112-7,인천광역시,5668,26544,25,0.09,37.44289022,126.6119735,2811052000.0,10,30,0.0,0,0,0
가설건축,인천광역시 중구 항동7가 112,인천광역시,5668,26544,25,0.09,37.44180285,126.6133939,2811052000.0,17,62,0.0,0,0,0
가설건축,인천광역시 연수구 동춘동 911-10,인천광역시,24108,26544,1,0.01,37.40278854,126.6539602,2818578000.0,17,263,0.0,0,0,0
가설건축,인천광역시 서구 오류동 1543,인천광역시,26690,51589,8,0.04,37.56654981,126.5977185,2826051500.0,6,27,0.0,0,0,0
가설건축,인천광역시 서구 오류동 1642-7,인천광역시,26690,51589,8,0.04,37.594695,126.6117482,2826072000.0,122,292,0.0,3,0,16
가설건축,인천광역시 서구 오류동 434-184,인천광역시,26690,51589,8,0.04,37.58644509,126.6315558,2826072000.0,215,574,0.0,1,0,3
가설건축,인천광역시 미추홀구 학익동 587-84(학익1동),인천광역시,31035,26544,0,0.01,37.43881712,126.6408387,2817758000.0,53,170,0.0,0,0,0
가설건축,인천광역시 연수구 송도동 406,인천광역시,38403,26544,3,0.02,37.34619666,126.6282334,2818584000.0,15,36,0.0,0,0,0
가설건축,전라남도 여수시 율촌면 여동리 355,전라남도,5614,51436,5,0.03,34.88652999,127.5977427,4613032000.0,34,53,0.0,0,0,0
가설건축,전라남도 여수시 율촌면 취적리 303-1,전라남도,5614,51436,5,0.03,34.85457837,127.5997979,4613032000.0,465,946,0.0,0,0,0
가설건축,전라남도 광양시 황금동 114-6,전라남도,6256,23216,0,0.03,34.90954411,127.6487069,4623051500.0,368,940,0.0,0,0,0
가설건축,전라남도 광양시 황길동 1392,전라남도,6256,11124,0,0.03,34.90177886,127.6589085,4623051500.0,10,30,0.0,0,0,0
가설건축,전라남도 광양시 도이동 780-2,전라남도,6256,11124,0,0.03,34.91104036,127.6742184,4623051500.0,5,25,0.0,0,0,0
가설건축,전라남도 여수시 소라면 대포리 653,전라남도,20534,50574,22,0.02,34.81225486,127.6211003,4613031000.0,288,766,0.0,0,0,0
가설건축,전라남도 여수시 소라면 대포리 29-2,전라남도,20534,50574,22,0.02,34.81926996,127.6213617,4613031000.0,417,905,0.0,2,0,1
가설건축,전라남도 영암군 삼호읍 산호리 634-9,전라남도,30828,13022,40,0.02,34.75632752,126.4758559,4683025300.0,513,1049,0.0,0,1,0
가설건축,전라남도 광양시 중동,전라남도,56681,11124,42,0.02,34.93942576,127.6891095,4623053000.0,343,823,0.0,5,0,42
가설건축,전라남도 광양시 중동 1477,전라남도,56681,11124,42,0.02,34.94048565,127.6891316,4623053000.0,382,850,0.0,4,0,47
가설건축,전북특별자치도 김제시 죽산면 옥성리 226-5,전북특별자치도,2106,15084,0,0.03,35.78009099,126.8361459,5221032000.0,524,1092,0.0,0,0,0
가설건축,전북특별자치도 군산시 임피면 읍내리 495-1,전북특별자치도,3701,19111,9,0.03,35.98522205,126.8537323,5213033000.0,823,1792,0.0,2,1,9
가설건축,전북특별자치도 남원시 조산동 271-2,전북특별자치도,5965,1652,5,0.03,35.39851559,127.3677728,5219055000.0,640,1244,0.0,1,0,9
가설건축,전북특별자치도 김제시 흥사동 300-3,전북특별자치도,10750,19316,22,0.05,35.82576364,126.8963365,5221051000.0,372,888,0.0,0,0,1
가설건축,전북특별자치도 전주시 덕진구 장동 550-12,전북특별자치도,16206,49737,1,0.03,35.85783299,127.0636588,5211366500.0,298,793,0.0,0,0,1
가설건축,전북특별자치도 군산시 오식도동 839,전북특별자치도,20898,3875,43,0.04,35.9728692,126.5628652,5213071000.0,14,37,0.0,0,0,0
가설건축,전북특별자치도 전주시 완산구 삼천동3가 485-1,전북특별자치도,21476,35443,0,0.03,35.79704044,127.0827155,5211170300.0,356,1107,0.0,0,0,0
가설건축,전북특별자치도 완주군 봉동읍 용암리 411-4,전북특별자치도,25931,10492,14,0.02,35.94277096,127.1425753,5271025300.0,167,550,0.0,0,0,0
가설건축,전북특별자치도 전주시 덕진구 만성동 707-4,전북특별자치도,36280,15769,0,0.02,35.83105716,127.0723054,5211366500.0,478,995,0.0,0,0,3
가설건축,전북특별자치도 전주시 완산구 원당동 73-22,전북특별자치도,43311,18273,0,0.01,35.75403828,127.1183067,5211169200.0,253,698,0.0,0,0,2
가설건축,제주특별자치도 제주시 봉개동 1795-1,제주특별자치도,5197,5254,2,0.02,33.49249291,126.594038,5011062000.0,571,1409,0.0,2,0,19
가설건축,제주특별자치도 서귀포시 토평동 3278-4,제주특별자치도,5379,19773,14,0.03,33.29146532,126.5818437,5013056000.0,229,442,0.0,1,0,0
가설건축,제주특별자치도 서귀포시 토평동 935-2,제주특별자치도,5379,19773,14,0.03,33.25694181,126.5855582,5013056000.0,252,569,0.0,0,0,2
가설건축,제주특별자치도 제주시 한경면 용수리 4186-2,제주특별자치도,9316,2940,19,0.04,33.32577686,126.1649108,5011031000.0,425,929,0.0,1,11,0
가설건축,제주특별자치도 제주시 한경면 청수리 1315,제주특별자치도,9316,2152,19,0.04,33.31333476,126.247293,5011031000.0,286,760,0.0,0,1,1
가설건축,제주특별자치도 서귀포시 표선면 성읍리 372-7,제주특별자치도,12172,10514,37,0.03,33.40236755,126.8127045,5013032000.0,115,263,0.0,1,1,2
가설건축,제주특별자치도 제주시 화북이동 4998-5,제주특별자치도,23355,35338,1,0.02,33.51091143,126.5584065,5011060000.0,675,1708,0.0,0,0,1
가설건축,제주특별자치도 제주시 조천읍 신촌리 85,제주특별자치도,24995,6834,67,0.03,33.50834778,126.6349953,5011025900.0,265,779,0.0,0,2,0
가설건축,제주특별자치도 제주시 조천읍 대흘리 629,제주특별자치도,24995,6834,67,0.03,33.51607563,126.665428,5011025900.0,222,616,0.0,0,2,0
가설건축,제주특별자치도 제주시 연동 2474,제주특별자치도,43976,54135,133,0.03,33.49536108,126.4782434,5011065000.0,431,1220,0.0,1,0,13
가설건축,제주특별자치도 제주시 연동 2474,제주특별자치도,43976,54135,133,0.03,33.49536108,126.4782434,5011069000.0,431,1220,0.0,1,0,13
