hd_nm,숙박업소수
사직동,4
백사면,4
군남면,4
하성면,4
덕포제2동,4
용흥동,4
사동,4
연평면,4
나운1동,4
염창동,4
사당제1동,4
전동면,4
원남면,4
관산읍,4
비인면,4
주안5동,4
전의면,4
호저면,4
영산면,4
비봉면,4
비금면,4
학산면,4
영오면,4
호원1동,4
기성면,4
문래동,4
도마1동,4
후평3동,4
단밀면,4
만덕제1동,4
초평동,4
면목제3.8동,4
둔덕동,4
면목제5동,4
창신제2동,4
검단동,4
태장2동,4
초전면,4
태평1동,4
청북읍,4
위천면,4
두류3동,4
회기동,4
월피동,4
석수2동,4
석촌동,4
초월읍,4
진량읍,4
진안동,4
가양1동,4
성내동,4
마도면,4
회천면,4
청학동,4
은산면,4
입암면,4
진월면,4
선부3동,4
남촌동,4
심곡1동,4
고삼면,4
율량.사천동,4
송내동,4
도화면,4
두동면,4
세마동,4
모가면,4
압구정동,4
마암면,4
자양제4동,4
숭의4동,4
압해읍,4
동서학동,4
신성동,4
청도읍,4
마리면,4
상무2동,4
야탑1동,4
거제면,4
수영동,4
도봉제1동,4
신암3동,4
증도면,4
작전2동,4
황간면,4
신월5동,4
건천읍,4
월산동,4
안성3동,4
안심1동,4
서상면,4
월롱면,4
장안읍,4
송현1.2동,4
가락본동,4
황산면,4
명지2동,4
괴정제4동,4
파주읍,4
가양2동,4
마두2동,3
입장면,3
마동,3
범어1동,3
용당동,3
번암면,3
봉선1동,3
이문제2동,3
보광동,3
대치면,3
동상동,3
정산면,3
교동면,3
동일면,3
흑석동,3
온천제2동,3
동탄6동,3
동호동,3
왕십리제2동,3
덕산동,3
광안제4동,3
임동,3
임실읍,3
임회면,3
이창동,3
둔촌제2동,3
욕지면,3
벽진면,3
현서면,3
마북동,3
홍북읍,3
호계면,3
반구1동,3
우제3동,3
월평2동,3
도천동,3
화남면,3
황연동,3
장안면,3
명장제1동,3
미수동,3
운수면,3
월곡제1동,3
환여동,3
운천.신봉동,3
구지면,3
모현읍,3
원성2동,3
도봉제2동,3
목행.용탄동,3
구의제3동,3
웅촌면,3
구의제1동,3
무릉도원면,3
미평동,3
유가읍,3
마성면,3
간동면,3
백석1동,3
용산면,3
마장동,3
잠실6동,3
홍농읍,3
군외면,3
잠원동,3
방학제1동,3
만촌1동,3
원대동,3
방배본동,3
장계면,3
망포1동,3
방림1동,3
율천동,3
회진면,3
우강면,3
회원2동,3
매포읍,3
매화면,3
회원1동,3
노량진제2동,3
한반도면,3
공덕동,3
대명9동,3
양정동,3
진천동,3
개포면,3
삼전동,3
포남2동,3
공성면,3
남부민제2동,3
삼선동,3
어모면,3
내북면,3
개봉제2동,3
여좌동,3
풍호동,3
줄포면,3
상1동,3
죽전동,3
연동면,3
낙성대동,3
초계면,3
연수2동,3
탄방동,3
낙동면동부출장소,3
청학제1동,3
하의면,3
고성동,3
염리동,3
신동읍,3
손불면,3
삼화동,3
성주면,3
영강동,3
상인2동,3
아현동,3
쌍문제3동,3
서원면,3
안기동,3
진례면,3
남일면,3
안성면,3
당진2동,3
안양5동,3
생림면,3
안양면,3
생극면,3
상중이동,3
고제면,3
내당2.3동,3
암사제1동,3
대강면,3
대곡면,3
성내제3동,3
야로면,3
거여1동,3
성수1가제1동,3
신천3동,3
추풍령면,3
중제2동,3
평리3동,3
해보면,3
성수2가제3동,3
송도1동,3
청학제2동,3
사남면,3
관평동,3
청암면,3
청안면,3
함창읍,3
대연제6동,3
대월면,3
오정동,3
부적면,3
대지면,3
조원동,3
부사동,3
신기면,3
옥구읍,3
신가동,3
부림면,3
옥룡동,3
부남면,3
내일동,3
해룡면신대출장소,3
수산면,3
정왕4동,3
수석동,3
옥정1동,3
대청동,3
대청면,3
청덕면,3
북가좌제2동,3
지평면,3
갑천면,3
대야동,3
주례제1동,3
영종동,3
학교면,3
비산4동,3
길음제1동,3
북이면,3
비산6동,3
하청면,3
강내면,3
한남동,3
북후면,3
불광제1동,3
수정제1동,3
논공읍,3
금호2동,3
종천면,3
신녕면,3
송도4동,3
주안4동,3
가곡면,2
장림제1동,2
진봉면,2
경천면,2
창평면,2
청도읍유호출장소,2
회천1동,2
충현동,2
진건읍,2
검암경서동,2
칠량면,2
고아읍,2
