연도,도로종류,지점번호,호선,구간,차로,도/시,시/군,읍/면,동/리,구분, AADT ,XCODE,YCODE
2024,1,05008,50,동군포IC-부곡IC,6,경기,의왕, ,부곡,수시," 155,357 ",37.32647,126.9546
2024,2,4213-001,42,평창읍-정선읍,2,강원,평창,미탄,창,상시," 2,887 ",37.32703,128.51597
2024,1,05006,50,안산JCT-둔대JCT,6,경기,안산,상록,부곡,수시," 140,921 ",37.3277,126.8878
2024,1,05007,50,군포IC-동군포IC,6,경기,군포, ,대야미,수시," 146,395 ",37.32885,126.93078
2024,3,0337-08 ,337,도척면-곤지암읍,2,경기,광주,도척,진우,수시," 19,424 ",37.32896,127.33731
2024,2,4210-000,42,여주시-원주시,4,강원,원주,흥업,사제,수시," 12,602 ",37.33093,127.88446
2024,1,01709,17.2,남군포IC-동시흥JCT,6,경기,군포, ,부곡,수시," 94,213 ",37.3328,126.92212
2024,2,4303-002,43,풍덕천동-광주시,4,경기,용인,모현,오산,수시," 47,302 ",37.33362,127.16137
2024,3,0333-13 ,333,왕대리-금사면,2,경기,여주,세종대왕,백석,수시," 1,807 ",37.3345,127.58402
2024,5,57-09   ,57,포곡읍-모현읍,4,경기,광주, ,문형,수시," 24,612 ",37.33619,127.19772
2024,3,0427-03 ,427,도계읍-근덕면,2,강원,삼척,근덕,동막,수시," 1,310 ",37.33694,129.24019
2024,3,0424-01 ,424,정선읍-화암리,2,강원,정선,화암,화암3,수시," 1,271 ",37.33816,128.79293
2024,2,3515-001,35,태백시-임계면,2,강원,삼척,하장,숙암,수시, 883 ,37.3398,128.96994
2024,1,03531-1,35,곤지암JCT-곤지암IC,4,경기,광주,도척,궁평,수시," 58,602 ",37.34055,127.32545
2024,2,4304-000,43,풍덕천동-광주시,4,경기,용인,모현,동림,상시," 63,095 ",37.34137,127.19674
2024,2,3515-002,35,태백시-임계면,2,강원,삼척,하장,광동,수시," 2,720 ",37.34144,128.953
