행정구역,순위,2023년 수(명),비율(%),lat,lon
충청북도 증평군 증평읍,235.0,36290.0,0.07,36.7846371098648,127.581032220365
전북특별자치도 전주시 덕진구 혁신동,236.0,36280.0,0.07,35.8319212671049,127.061313958847
경기도 이천시 부발읍,237.0,36162.0,0.07,37.283660360919,127.486886526274
경기도 안산시 상록구 사동,238.0,36141.0,0.07,37.2971248482641,126.851055922583
울산광역시 북구 농소3동,239.0,36140.0,0.07,35.6286338423249,129.339624079956
경상남도 진주시 가호동,240.0,36140.0,0.07,35.1599603460335,128.10665889673
충청남도 천안시 서북구 불당2동,241.0,36091.0,0.07,36.8173797799299,127.108504306793
경기도 시흥시 배곧2동,242.0,36082.0,0.07,37.3640929634856,126.7183287933
경기도 고양시 일산동구 풍산동,243.0,36070.0,0.07,37.6640694530621,126.799885872641
서울특별시 노원구 공릉1동,244.0,36059.0,0.07,37.6248214682345,127.073848484316
부산광역시 동래구 온천3동,245.0,36058.0,0.07,35.2034426097571,129.065517389675
경상남도 창원시 성산구 중앙동,246.0,36021.0,0.07,35.221091712714,128.673688803063
서울특별시 은평구 불광1동,247.0,35991.0,0.07,37.6103587706931,126.932086867815
서울특별시 노원구 상계1동,248.0,35948.0,0.07,37.6799070536742,127.054948904465
경기도 의왕시 청계동,249.0,35909.0,0.07,37.4000497874321,127.018485897202
서울특별시 송파구 오금동,250.0,35838.0,0.07,37.5029748269764,127.128103930329
인천광역시 연수구 송도2동,251.0,35784.0,0.07,37.4032746079107,126.641696771317
울산광역시 북구 송정동,252.0,35784.0,0.07,35.6038126773709,129.36449305326
대전광역시 유성구 노은3동,253.0,35760.0,0.07,36.3867873801737,127.307846019293
울산광역시 북구 농소1동,254.0,35741.0,0.07,35.6227739139468,129.356050827288
부산광역시 해운대구 재송1동,255.0,35710.0,0.07,35.1846376319865,129.125267424067
서울특별시 영등포구 당산2동,256.0,35691.0,0.07,37.5310028334211,126.897312879485
서울특별시 강남구 대치2동,257.0,35686.0,0.07,37.5022592044326,127.064164457307
광주광역시 광산구 어룡동,258.0,35670.0,0.07,35.1482552325277,126.779810401467
충청북도 충주시 연수동,259.0,35648.0,0.07,36.9867248377515,127.934130527889
경기도 광명시 철산3동,260.0,35640.0,0.07,37.4770589678744,126.872550816793
경기도 용인시 처인구 역북동,261.0,35586.0,0.07,37.2462035848033,127.188111660691
충청남도 논산시 취암동,262.0,35514.0,0.07,36.1976453244327,127.093575384904
경기도 시흥시 배곧1동,263.0,35428.0,0.07,37.3774032363222,126.730865667749
경기도 광주시 신현동,264.0,35387.0,0.07,37.3596471682821,127.158838315041
경기도 수원시 권선구 곡선동,265.0,35371.0,0.07,37.2433352163638,127.033324609958
