대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도
근린생활시설,부산광역시 사하구 하단동 1157-17,부산광역시 사하구 하단2동,26852,134118,28,0.02,35.115374,128.95954
근린생활시설,서울특별시 강서구 등촌동 630,서울특별시 강서구 등촌1동,24308,196415,1,0.02,37.558292,126.859768
근린생활시설,서울특별시 양천구 신월동 199-3,서울특별시 양천구 신월3동,14226,190133,,0.02,37.531429,126.830844
근린생활시설,서울특별시 서초구 양재동 81,서울특별시 서초구 양재1동,40223,203917,1,0.03,37.478089,127.039592
근린생활시설,서울특별시 양천구 신월동 205-48,서울특별시 양천구 신월3동,14226,190133,,0.02,37.529528,126.83222
근린생활시설,서울특별시 강서구 화곡동 772-67,서울특별시 강서구 화곡4동,19617,190133,1,0.02,37.535011,126.863188
근린생활시설,울산광역시 남구 삼산동 1550-7,울산광역시 남구 삼산동,47809,20222,97,0.05,35.542644,129.338909
근린생활시설,울산광역시 남구 달동 1313-9,울산광역시 남구 삼산동,47809,20222,97,0.05,35.546329,129.329465
근린생활시설,울산광역시 중구 복산동 40-6,울산광역시 중구 복산동,17417,24520,,0.01,35.561499,129.332245
근린생활시설,울산광역시 북구 연암동 1260-3,울산광역시 북구 효문동,29237,30691,9,0.04,35.583337,129.358825
근린생활시설,울산광역시 울주군 삼남읍 가천리 1132-17,울산광역시 울주군 삼남읍,22317,11555,13,0.02,35.523991,129.075397
근린생활시설,인천광역시 중구 덕교동 615-12,인천광역시 중구 용유동,3288,76027,122,0.06,37.43512,126.414295
근린생활시설,인천광역시 남동구 구월동 1185,인천광역시 남동구 구월1동,31328,145280,6,0.02,37.446962,126.707589
근린생활시설,인천광역시 남동구 구월동 1120-16,인천광역시 남동구 구월3동,29993,145280,11,0.04,37.450082,126.693837
근린생활시설,인천광역시 연수구 송도동 8-17,인천광역시 연수구 송도1동,38403,60971,3,0.02,37.384845,126.644294
근린생활시설,인천광역시 남동구 구월동 279-3,인천광역시 남동구 구월1동,31328,145280,6,0.02,37.449146,126.710851
근린생활시설,전라남도 광양시 중동 1309-3,전라남도 광양시 중마동,56681,11124,42,0.02,34.939339,127.699726
근린생활시설,전라남도 순천시 조례동 382-1,전라남도 순천시 왕조1동,37680,16890,13,0.02,34.957518,127.528671
근린생활시설,전라남도 광양시 마동 421-2,전라남도 광양시 중마동,56681,11124,42,0.02,34.940274,127.705802
근린생활시설,전라남도 장성군 장성읍 영천리 1481-20,전라남도 장성군 장성읍,12715,48279,14,0.03,35.305154,126.784986
근린생활시설,전라남도 목포시 무안동 1-3,전라남도 목포시 목원동,6544,16601,53,0.05,34.789853,126.384418
