대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량,숙박업소(관광지수),상권밀집도(비율),공시지가(토지단가)
공동주택,충북 청주시 흥덕구 오송읍 쌍청리 108-37,충청북도 청주시 흥덕구 오송읍,31129,,,0.02,
공동주택,충북 음성군 맹동면 두성리 1463,충청북도 음성군 맹동면,13860,,,0.03,
공동주택,충북 청주시 흥덕구 오송읍 만수리 863,충청북도 청주시 흥덕구 오송읍,31129,,,0.02,
자동차관련시설,강원특별자치도 원주시 판부면 서곡리 517,강원특별자치도 원주시 판부면,7096,,,0.05,
자동차관련시설,강원특별자치도 원주시 호저면 만종리 324-4,강원특별자치도 원주시 호저면,3346,,,0.06,
자동차관련시설,강원특별자치도 원주시 무실동 643-7,강원특별자치도 원주시 무실동,34464,,,0.02,
자동차관련시설,강원특별자치도 춘천시 동면 장학리 786-80,강원특별자치도 춘천시 동면,19631,,,0.03,
자동차관련시설,강원특별자치도 원주시 행구동 1775-3,강원특별자치도 원주시 행구동,8605,,,0.02,
자동차관련시설,경기 화성시 장지동 812,경기도 화성시 동탄8동,32862,,,0.01,
자동차관련시설,경기 화성시 오산동 458-1,경기도 화성시 동탄6동,42448,,,0.02,
자동차관련시설,경기 화성시 기산동 23-1,경기도 화성시 진안동,51009,,,0.02,
자동차관련시설,경기 수원시 영통구 매탄동 405-1,경기도 수원시 영통구 매탄3동,34738,,,0.02,
자동차관련시설,경기 수원시 영통구 신동 532-3,경기도 수원시 영통구 영통2동,25353,,,0.03,
자동차관련시설,경남 창원시 성산구 대원동 78,경상남도 창원시 성산구 중앙동,36021,,,0.04,
자동차관련시설,경남 양산시 어곡동 440,경상남도 양산시 강서동,9471,,,0.04,
자동차관련시설,경남 진주시 상대동 33-121,경상남도 진주시 상대동,19071,,,0.04,
자동차관련시설,경남 진주시 상평동 167-2,경상남도 진주시 상평동,11658,,,0.05,
자동차관련시설,경남 김해시 주촌면 내삼리 744-8,경상남도 김해시 주촌면,21119,,,0.04,
